Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2018-08-09,0,0,0,0,0,0,0,0,0,0,100.07819837771983,0,0,0,0,0,0,0,0
2018-08-10,0,0,0,0,0,0,0,0,0,0,100.24329614625802,0,0,0,0,0,0,0,0
2018-08-13,0,0,0,0,0,0,0,0,0,0,100.21724056703397,0,0,0,0,0,0,0,0
2018-08-14,0,0,0,0,0,0,0,0,0,0,100.34756592322576,0,0,0,0,0,0,0,0
2018-08-15,0,0,0,0,0,0,0,0,0,0,100.55615293723265,0,0,0,0,0,0,0,0
2018-08-16,0,0,0,0,0,0,0,0,0,0,100.68649411344826,0,0,0,0,0,0,0,0
2018-08-17,0,0,0,0,0,0,0,0,0,0,100.77333813418326,0,0,0,0,0,0,0,0
2018-08-20,0,0,0,0,0,0,0,0,0,0,101.03406003667402,0,0,0,0,0,0,0,0
2018-08-21,0,0,0,0,0,0,0,0,0,0,100.78205496730557,0,0,0,0,0,0,0,0
2018-08-22,0,0,0,0,0,0,0,0,0,0,100.77333813418325,0,0,0,0,0,0,0,0
2018-08-23,0,0,0,0,0,0,0,0,0,0,100.80811845654155,0,0,0,0,0,0,0,0
2018-08-24,0,0,0,0,0,0,0,0,0,0,101.00799654743804,0,0,0,0,0,0,0,0
2018-08-27,0,0,0,0,0,0,0,0,0,0,100.85157606196263,0,0,0,0,0,0,0,0
2018-08-28,0,0,0,0,0,0,0,0,0,0,100.46919817633098,0,0,0,0,0,0,0,0
2018-08-29,0,0,0,0,0,0,0,0,0,0,100.364952129399,0,0,0,0,0,0,0,0
2018-08-30,0,0,0,0,0,0,0,0,0,0,100.46053671329202,0,0,0,0,0,0,0,0
2018-08-31,0,0,0,0,0,0,0,0,0,0,100.31282515092701,0,0,0,0,0,0,0,0
2018-09-04,0,0,0,0,0,0,0,0,0,0,100.1280472727624,0,0,0,0,0,0,0,0
2018-09-05,0,0,0,0,0,0,0,0,0,0,100.06702153089427,0,0,0,0,0,0,0,0
2018-09-06,0,0,0,0,0,0,0,0,0,0,100.3459285507609,0,0,0,0,0,0,0,0
