Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-09,99.86336709792512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10,99.19430307491425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-13,98.82296679880255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-14,99.453515276114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-15,98.71084272389064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-16,99.50955387136322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-17,99.8598859302219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-20,100.0735499236956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-21,100.3083119032493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-22,100.24873353478002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-23,100.11564040592522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-24,100.71815200395703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-27,101.51335854151964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-28,101.56239963805231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-29,102.1088726408349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-30,101.6954927669071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-31,101.69900909792042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-04,101.52386065014612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
