Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
2018-08-09,49.93168354896256,0,0,0,0,0,0,0,0,0,50.039099188859915,0,0,0,0,0,0,0,0
2018-08-10,49.59715153745712,0,0,0,0,0,0,0,0,0,50.12164807312901,0,0,0,0,0,0,0,0
2018-08-13,49.41148339940128,0,0,0,0,0,0,0,0,0,50.108620283516984,0,0,0,0,0,0,0,0
2018-08-14,49.726757638057,0,0,0,0,0,0,0,0,0,50.17378296161288,0,0,0,0,0,0,0,0
2018-08-15,49.35542136194532,0,0,0,0,0,0,0,0,0,50.27807646861633,0,0,0,0,0,0,0,0
2018-08-16,49.75477693568161,0,0,0,0,0,0,0,0,0,50.34324705672413,0,0,0,0,0,0,0,0
2018-08-17,49.92994296511095,0,0,0,0,0,0,0,0,0,50.38666906709163,0,0,0,0,0,0,0,0
2018-08-20,50.0367749618478,0,0,0,0,0,0,0,0,0,50.51703001833701,0,0,0,0,0,0,0,0
2018-08-21,50.15415595162465,0,0,0,0,0,0,0,0,0,50.391027483652785,0,0,0,0,0,0,0,0
2018-08-22,50.12436676739001,0,0,0,0,0,0,0,0,0,50.386669067091624,0,0,0,0,0,0,0,0
2018-08-23,50.05782020296261,0,0,0,0,0,0,0,0,0,50.404059228270775,0,0,0,0,0,0,0,0
2018-08-24,50.359076001978515,0,0,0,0,0,0,0,0,0,50.50399827371902,0,0,0,0,0,0,0,0
2018-08-27,50.75667927075982,0,0,0,0,0,0,0,0,0,50.425788030981316,0,0,0,0,0,0,0,0
2018-08-28,50.781199819026156,0,0,0,0,0,0,0,0,0,50.23459908816549,0,0,0,0,0,0,0,0
2018-08-29,51.05443632041745,0,0,0,0,0,0,0,0,0,50.1824760646995,0,0,0,0,0,0,0,0
2018-08-30,50.84774638345355,0,0,0,0,0,0,0,0,0,50.23026835664601,0,0,0,0,0,0,0,0
2018-08-31,50.84950454896021,0,0,0,0,0,0,0,0,0,50.156412575463506,0,0,0,0,0,0,0,0
2018-09-04,50.76193032507306,0,0,0,0,0,0,0,0,0,50.0640236363812,0,0,0,0,0,0,0,0
2018-09-05,50.62531500465327,0,0,0,0,0,0,0,0,0,50.03351076544713,0,0,0,0,0,0,0,0
2018-09-06,50.47292307908696,0,0,0,0,0,0,0,0,0,50.17296427538045,0,0,0,0,0,0,0,0
2018-09-07,50.37485260712501,0,0,0,0,0,0,0,0,0,49.96379192049239,0,0,0,0,0,0,0,0
2018-09-10,50.46240924935709,0,0,0,0,0,0,0,0,0,50.12937615476291,0,0,0,0,0,0,0,0
2018-09-11,50.628819614563234,0,0,0,0,0,0,0,0,0,50.016088964220366,0,0,0,0,0,0,0,0
2018-09-12,50.6410798886964,0,0,0,0,0,0,0,0,0,50.116312770097295,0,0,0,0,0,0,0,0
2018-09-13,50.9405951038607,0,0,0,0,0,0,0,0,0,50.22091476756513,0,0,0,0,0,0,0,0
2018-09-14,50.94935076808391,0,0,0,0,0,0,0,0,0,50.15989693570889,0,0,0,0,0,0,0,0
2018-09-17,50.679601294947496,0,0,0,0,0,0,0,0,0,50.129376154762916,0,0,0,0,0,0,0,0
2018-09-18,50.95460182239716,0,0,0,0,0,0,0,0,0,49.92458199146577,0,0,0,0,0,0,0,0
2018-09-19,51.008917415449815,0,0,0,0,0,0,0,0,0,49.850484954920105,0,0,0,0,0,0,0,0
2018-09-20,51.422273847170885,0,0,0,0,0,0,0,0,0,49.981225586737054,0,0,0,0,0,0,0,0
2018-09-21,51.375289804281024,0,0,0,0,0,0,0,0,0,49.98993846485342,0,0,0,0,0,0,0,0
2018-09-24,51.204612957445356,0,0,0,0,0,0,0,0,0,49.87663545428707,0,0,0,0,0,0,0,0
2018-09-25,51.15711904655857,0,0,0,0,0,0,0,0,0,49.87663545428707,0,0,0,0,0,0,0,0
2018-09-26,51.00404143644465,0,0,0,0,0,0,0,0,0,50.055310758264866,0,0,0,0,0,0,0,0
2018-09-27,51.14655247186349,0,0,0,0,0,0,0,0,0,50.1206751416644,0,0,0,0,0,0,0,0
2018-09-28,51.15183282893518,0,0,0,0,0,0,0,0,0,50.08580780917512,0,0,0,0,0,0,0,0
2018-10-01,51.32953647724581,0,0,0,0,0,0,0,0,0,50.016741540202766,0,0,0,0,0,0,0,0
2018-10-02,51.299624221425695,0,0,0,0,0,0,0,0,0,50.060444355993,0,0,0,0,0,0,0,0
2018-10-03,51.32777831173914,0,0,0,0,0,0,0,0,0,49.76757616510921,0,0,0,0,0,0,0,0
2018-10-04,50.926617688082665,0,0,0,0,0,0,0,0,0,49.5621294258297,0,0,0,0,0,0,0,0
2018-10-05,50.64157217503825,0,0,0,0,0,0,0,0,0,49.36980144129916,0,0,0,0,0,0,0,0
2018-10-08,50.64157217503825,0,0,0,0,0,0,0,0,0,49.317338287321135,0,0,0,0,0,0,0,0
2018-10-09,50.567670618241294,0,0,0,0,0,0,0,0,0,49.4572070728796,0,0,0,0,0,0,0,0
2018-10-10,48.966547384904594,0,0,0,0,0,0,0,0,0,49.32172438892396,0,0,0,0,0,0,0,0
2018-10-11,47.88798317318396,0,0,0,0,0,0,0,0,0,49.52715530817966,0,0,0,0,0,0,0,0
2018-10-12,48.55307960270145,0,0,0,0,0,0,0,0,0,49.535899826343666,0,0,0,0,0,0,0,0
2018-10-15,48.28035003903124,0,0,0,0,0,0,0,0,0,49.44408831813061,0,0,0,0,0,0,0,0
2018-10-16,49.33603465695844,0,0,0,0,0,0,0,0,0,49.570885809011564,0,0,0,0,0,0,0,0
2018-10-17,49.344825484491786,0,0,0,0,0,0,0,0,0,49.32607489547322,0,0,0,0,0,0,0,0
2018-10-18,48.63224393491503,0,0,0,0,0,0,0,0,0,49.32607489547322,0,0,0,0,0,0,0,0
2018-10-19,48.60586852203917,0,0,0,0,0,0,0,0,0,49.264867223331194,0,0,0,0,0,0,0,0
2018-10-22,48.387683112937495,0,0,0,0,0,0,0,0,0,49.20367537121298,0,0,0,0,0,0,0,0
2018-10-23,48.14135240434991,0,0,0,0,0,0,0,0,0,49.273627561519014,0,0,0,0,0,0,0,0
2018-10-24,46.682731415604515,0,0,0,0,0,0,0,0,0,49.34355997679527,0,0,0,0,0,0,0,0
2018-10-25,47.520245275809266,0,0,0,0,0,0,0,0,0,49.28236021466515,0,0,0,0,0,0,0,0
2018-10-26,46.6844837205595,0,0,0,0,0,0,0,0,0,49.36540347467847,0,0,0,0,0,0,0,0
2018-10-29,46.425848783701085,0,0,0,0,0,0,0,0,0,49.308589814151176,0,0,0,0,0,0,0,0
2018-10-30,47.11379843452942,0,0,0,0,0,0,0,0,0,49.19932881966968,0,0,0,0,0,0,0,0
2018-10-31,47.617026426399654,0,0,0,0,0,0,0,0,0,49.059432349069525,0,0,0,0,0,0,0,0
2018-11-01,48.12375316762817,0,0,0,0,0,0,0,0,0,49.2081049778813,0,0,0,0,0,0,0,0
2018-11-02,47.83873109679052,0,0,0,0,0,0,0,0,0,49.01074227077148,0,0,0,0,0,0,0,0
2018-11-05,48.10263759989309,0,0,0,0,0,0,0,0,0,49.09844848280441,0,0,0,0,0,0,0,0
2018-11-06,48.40703172433839,0,0,0,0,0,0,0,0,0,49.18179232327024,0,0,0,0,0,0,0,0
2018-11-07,49.443382382243925,0,0,0,0,0,0,0,0,0,49.3089734497287,0,0,0,0,0,0,0,0
2018-11-08,49.353633893680204,0,0,0,0,0,0,0,0,0,49.164247916858876,0,0,0,0,0,0,0,0
2018-11-09,48.87154198147596,0,0,0,0,0,0,0,0,0,49.199328819669674,0,0,0,0,0,0,0,0
2018-11-12,47.95835960814006,0,0,0,0,0,0,0,0,0,49.194930853048966,0,0,0,0,0,0,0,0
2018-11-13,47.868637492058944,0,0,0,0,0,0,0,0,0,49.129147239018316,0,0,0,0,0,0,0,0
2018-11-14,47.54136377382019,0,0,0,0,0,0,0,0,0,48.99758001095701,0,0,0,0,0,0,0,0
2018-11-15,48.037541522008695,0,0,0,0,0,0,0,0,0,48.905475832303374,0,0,0,0,0,0,0,0
2018-11-16,48.162462111533316,0,0,0,0,0,0,0,0,0,49.00197402257176,0,0,0,0,0,0,0,0
2018-11-19,47.34782784512201,0,0,0,0,0,0,0,0,0,48.953734814952455,0,0,0,0,0,0,0,0
2018-11-20,46.47159625018459,0,0,0,0,0,0,0,0,0,48.83531007167585,0,0,0,0,0,0,0,0
2018-11-21,46.62994542654265,0,0,0,0,0,0,0,0,0,48.94057651014394,0,0,0,0,0,0,0,0
2018-11-23,46.31852157034652,0,0,0,0,0,0,0,0,0,48.962503063152184,0,0,0,0,0,0,0,0
2018-11-26,47.066304523642614,0,0,0,0,0,0,0,0,0,48.98443357116636,0,0,0,0,0,0,0,0
2018-11-27,47.22465370000068,0,0,0,0,0,0,0,0,0,48.923036058738546,0,0,0,0,0,0,0,0
2018-11-28,48.31202046035803,0,0,0,0,0,0,0,0,0,49.054591421781986,0,0,0,0,0,0,0,0
2018-11-29,48.206442621682605,0,0,0,0,0,0,0,0,0,48.91424803550905,0,0,0,0,0,0,0,0
2018-11-30,48.50027896226036,0,0,0,0,0,0,0,0,0,48.88356114431301,0,0,0,0,0,0,0,0
