Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,60.0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0
2018-08-09,59.969579765905806,0,0,0,0,0,0,0,0,0,39.97971984393721,0,0,0,0,0,0,0,0
2018-08-10,59.76808188496462,0,0,0,0,0,0,0,0,0,39.84538792330975,0,0,0,0,0,0,0,0
2018-08-13,59.62762187824193,0,0,0,0,0,0,0,0,0,39.75174791882796,0,0,0,0,0,0,0,0
2018-08-14,59.8869139775765,0,0,0,0,0,0,0,0,0,39.924609318384334,0,0,0,0,0,0,0,0
2018-08-15,59.66838288651723,0,0,0,0,0,0,0,0,0,39.77892192434483,0,0,0,0,0,0,0,0
2018-08-16,59.98900108114464,0,0,0,0,0,0,0,0,0,39.99266738742977,0,0,0,0,0,0,0,0
2018-08-17,60.13641564859081,0,0,0,0,0,0,0,0,0,40.09094376572722,0,0,0,0,0,0,0,0
2018-08-20,60.27585198157114,0,0,0,0,0,0,0,0,0,40.18390132104743,0,0,0,0,0,0,0,0
2018-08-21,60.30055502748209,0,0,0,0,0,0,0,0,0,40.2003700183214,0,0,0,0,0,0,0,0
2018-08-22,60.276979425497736,0,0,0,0,0,0,0,0,0,40.18465295033183,0,0,0,0,0,0,0,0
2018-08-23,60.23728560295661,0,0,0,0,0,0,0,0,0,40.15819040197108,0,0,0,0,0,0,0,0
2018-08-24,60.502570433246625,0,0,0,0,0,0,0,0,0,40.33504695549775,0,0,0,0,0,0,0,0
2018-08-27,60.751706754052705,0,0,0,0,0,0,0,0,0,40.50113783603514,0,0,0,0,0,0,0,0
2018-08-28,60.6771804112311,0,0,0,0,0,0,0,0,0,40.4514536074874,0,0,0,0,0,0,0,0
2018-08-29,60.847887206150894,0,0,0,0,0,0,0,0,0,40.565258137433936,0,0,0,0,0,0,0,0
2018-08-30,60.7232643113088,0,0,0,0,0,0,0,0,0,40.482176207539204,0,0,0,0,0,0,0,0
2018-08-31,60.68881045187399,0,0,0,0,0,0,0,0,0,40.459206967915996,0,0,0,0,0,0,0,0
