Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,0,1.1693991487280778e-20,1.1693991487280778e-20,15.685627718425312,16.481250386651336,1.1693991487280778e-20,55.73022803727885,1.1693991487280778e-20,12.102893857644524,1.1693991487280778e-20,0,0,0,0,0,0,0,0,0
2018-08-09,0,1.2193392132437709e-41,1.223396079721103e-41,14.55789473318309,12.169185914456394,1.2239578762765525e-41,60.034432195408364,1.2270707444844134e-41,13.488084626362628,1.2373954298091485e-41,0,0,0,0,0,0,0,0,0
2018-08-10,0,1.2911931314656475e-62,1.2725606711984404e-62,13.567886584098096,14.93092566059336,1.2767703224196337e-62,58.14662140997297,1.286608964325565e-62,12.874759875043376,1.2834974419323903e-62,0,0,0,0,0,0,0,0,0
2018-08-13,0,1.3416010119464073e-83,1.3263891984898517e-83,15.349070813322186,20.26828794211674,1.33730486864393e-83,49.4853210057791,1.3541034848654137e-83,14.126912886777257,1.337246750893114e-83,0,0,0,0,0,0,0,0,0
2018-08-14,0,1.415399604380883e-104,1.4090734132775494e-104,11.795263501876748,17.41423379455445,1.4172555500787492e-104,56.68026489340669,1.4350428558475917e-104,14.039717760748253,1.4192693352602576e-104,0,0,0,0,0,0,0,0,0
2018-08-15,0,1.4376698855354409e-125,1.4713240614932724e-125,8.10146069660313,28.010257143579786,1.4844655306011276e-125,42.40724794421882,1.516522241439182e-125,20.714081006719677,1.470009134581262e-125,0,0,0,0,0,0,0,0,0
2018-08-16,0,1.524029849824429e-146,1.5691624836257506e-146,2.7614642393884803,35.31324794249657,1.5821633017922403e-146,37.771389699188006,1.6189084862794788e-146,24.129093374210946,1.5565177797943272e-146,0,0,0,0,0,0,0,0,0
2018-08-17,0,1.6079657949183753e-167,1.6550044336407832e-167,2.437747803546761,35.617155823739765,1.6752648941159734e-167,33.76077369870927,3.8296458010207,24.60107051838523,1.65031644317455e-167,0,0,0,0,0,0,0,0,0
2018-08-20,0,1.703738692714822e-188,1.747389994746e-188,2.5617716254612293e-21,35.40645383047227,1.774936276428405e-188,41.81076672867691,1.9515112669550179,21.343534091041015,1.7490786501040492e-188,0,0,0,0,0,0,0,0,0
2018-08-21,0,1.8021917309117067e-209,1.84621545433048e-209,2.7005911471622216e-42,30.322982692018932,1.8819141140667296e-209,53.05028427316775,2.039319425389076e-21,17.304037046004183,1.8480293445467922e-209,0,0,0,0,0,0,0,0,0
2018-08-22,0,1.9194513407923627e-230,1.9362170421463971e-230,2.850808543221575e-63,31.9315869427977,1.9614360229890907e-230,55.08924135269308,2.1329354058710605e-42,13.613755699581183,1.9350973526257845e-230,0,0,0,0,0,0,0,0,0
2018-08-23,0,2.010634647348538e-251,2.0284188636566464e-251,2.2103758319278985,32.081828775275596,2.0584030073553313e-251,53.58048661870473,2.2394493442005904e-63,12.68824068183094,2.0227496582858557e-251,0,0,0,0,0,0,0,0,0
2018-08-24,0,2.131553017799785e-272,2.1424141353595764e-272,6.182622127473336,28.915027236834046,2.1757438271909625e-272,52.34504430966749,2.353881197719986e-84,13.66370175133839,2.1565802136258376e-272,0,0,0,0,0,0,0,0,0
2018-08-27,0,2.2599259315039192e-293,2.2851451558472776e-293,8.96175077223368,25.8367807691035,2.3188343110820516e-293,55.56396810222583,2.4787387309438503e-105,11.15755922022499,2.3008046496921535e-293,0,0,0,0,0,0,0,0,0
2018-08-28,0,2.368343285e-314,2.4025006296e-314,10.462924405893041,24.462297312547708,2.4354528536e-314,56.9887602653768,2.6000901750100963e-126,9.723166288524368,2.41221155e-314,0,0,0,0,0,0,0,0,0
2018-08-29,0,-2.17e-322,2.4e-322,9.436288547339352,21.832268862276266,2e-323,59.80500596511293,2.7395341824453316e-147,11.528014409320098,9.4e-323,0,0,0,0,0,0,0,0,0
2018-08-30,0,-2.17e-322,2.4e-322,10.265687025543274,25.990674390813993,2e-323,53.82644809280244,2.874166168567651e-168,12.135948385483506,9.4e-323,0,0,0,0,0,0,0,0,0
2018-08-31,0,-2.17e-322,2.4e-322,10.542555981444492,22.704134535445114,2e-323,59.19511554397714,3.023818173211104e-189,9.940065492408843,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-04,0,-2.17e-322,2.4e-322,10.588955138324357,12.365281499802302,2e-323,67.3843572571953,3.1783033478325166e-210,11.977732648577708,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-05,0,-2.17e-322,2.4e-322,2.7038659248095436,29.418467036440923,2e-323,52.220001535316065,3.383648177660705e-231,17.334162076887008,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-06,0,-2.1e-322,2.4e-322,2.8250458432014477e-21,32.32654750524219,2e-323,49.78140527217439,3.5709827862607716e-252,19.503420814764777,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-07,0,-2.1e-322,2.4e-322,2.963178466930052e-42,34.67195633334184,2e-323,52.64931265047685,3.750725950140494e-273,14.096170662582454,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-10,0,-2.1e-322,2.4e-322,3.128372576208609e-63,28.305418452967405,2e-323,58.09015954325159,3.9612809098661465e-294,15.198179890957928,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-11,0,-2.1e-322,2.4e-322,3.103590897956889,20.860812626435695,2e-323,64.51150011347879,4.153805045e-315,13.519880981151653,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-12,0,-2.1e-322,2.4e-322,3.2527997071870833e-21,26.26758618266754,2e-323,62.60524775825787,0.45603620354044516,12.866933107718529,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-13,0,-2.1e-322,2.4e-322,1.5335507003540823,34.044220078834165,2e-323,52.40629472330495,4.792612408491052e-22,14.741202432960373,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-14,0,-2.1e-322,2.4e-322,5.192195167845689,32.927098892070205,2e-323,51.364503213565115,5.0302507607061205e-43,12.852991139771685,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-17,0,-2.1e-322,2.4e-322,5.396029039362382e-21,41.08673078641519,2e-323,42.90845978803153,1.7236281430380187,15.838753662608891,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-18,0,-2.1e-322,2.4e-322,5.715171776555576e-42,38.28830076192533,2e-323,49.38075454417371,1.8064569314827794e-21,14.636559870730357,9.4e-323,0,0,0,0,0,0,0,0,0
2018-09-19,0,-2.1e-322,2.47e-322,5.999637629475817e-63,40.94533061305518,2e-323,54.917197118253014,1.8977488051649635e-42,6.093503397909321,9.4e-323,0,0,0,0,0,0,0,0,0
