Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,0,0,0,0,0,0,0,0
2018-08-09,0,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,11.097779841236617,0,0,0,0,0,0,0,0,0
2018-08-10,0,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,11.026788584606265,0,0,0,0,0,0,0,0,0
2018-08-13,0,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,10.975301123858095,0,0,0,0,0,0,0,0,0
2018-08-14,0,11.044567088900184,11.044567088900186,11.044567088900186,11.044567088900184,11.044567088900186,11.044567088900184,11.044567088900186,11.044567088900184,11.044567088900186,0,0,0,0,0,0,0,0,0
2018-08-15,0,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,10.955044737887372,0,0,0,0,0,0,0,0,0
2018-08-16,0,11.056737043771923,11.056737043771921,11.056737043771923,11.056737043771923,11.056737043771921,11.056737043771923,11.056737043771921,11.056737043771921,11.056737043771923,0,0,0,0,0,0,0,0,0
2018-08-17,0,11.10149723056188,11.10149723056188,11.101497230561879,11.10149723056188,11.10149723056188,11.10149723056188,11.101497230561879,11.10149723056188,11.101497230561879,0,0,0,0,0,0,0,0,0
2018-08-20,0,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,11.136671854241044,0,0,0,0,0,0,0,0,0
2018-08-21,0,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,11.155977163142802,0,0,0,0,0,0,0,0,0
2018-08-22,0,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,11.137480821906818,0,0,0,0,0,0,0,0,0
2018-08-23,0,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,11.11120039580704,0,0,0,0,0,0,0,0,0
2018-08-24,0,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,11.175321321641057,0,0,0,0,0,0,0,0,0
2018-08-27,0,11.250788723875635,11.250788723875633,11.250788723875635,11.250788723875633,11.250788723875633,11.250788723875633,11.250788723875635,11.250788723875633,11.250788723875635,0,0,0,0,0,0,0,0,0
2018-08-28,0,11.235376068666628,11.235376068666628,11.235376068666627,11.235376068666627,11.235376068666627,11.235376068666627,11.235376068666628,11.235376068666627,11.235376068666627,0,0,0,0,0,0,0,0,0
2018-08-29,0,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,11.296950341466086,0,0,0,0,0,0,0,0,0
2018-08-30,0,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,11.244812652317147,0,0,0,0,0,0,0,0,0
2018-08-31,0,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,11.23070040757716,0,0,0,0,0,0,0,0,0
2018-09-04,0,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,11.216166619729005,0,0,0,0,0,0,0,0,0
2018-09-05,0,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,11.240360325380859,0,0,0,0,0,0,0,0,0
2018-09-06,0,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,11.216028847097787,0,0,0,0,0,0,0,0,0
2018-09-07,0,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,11.182309247269613,0,0,0,0,0,0,0,0,0
2018-09-10,0,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,11.204188686172676,0,0,0,0,0,0,0,0,0
2018-09-11,0,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,11.231281494732704,0,0,0,0,0,0,0,0,0
2018-09-12,0,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,11.247444390212276,0,0,0,0,0,0,0,0,0
2018-09-13,0,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,11.298481122528539,0,0,0,0,0,0,0,0,0
2018-09-14,0,11.299910051774479,11.299910051774477,11.299910051774479,11.299910051774479,11.299910051774479,11.299910051774477,11.299910051774477,11.299910051774479,11.299910051774479,0,0,0,0,0,0,0,0,0
2018-09-17,0,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,11.274379860506066,0,0,0,0,0,0,0,0,0
2018-09-18,0,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,11.325156921026592,0,0,0,0,0,0,0,0,0
2018-09-19,0,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,11.328983412953969,0,0,0,0,0,0,0,0,0
2018-09-20,0,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,11.409987450132757,0,0,0,0,0,0,0,0,0
2018-09-21,0,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,11.417433723300453,0,0,0,0,0,0,0,0,0
2018-09-24,0,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,11.352355857813968,0,0,0,0,0,0,0,0,0
2018-09-25,0,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,11.320400999043454,0,0,0,0,0,0,0,0,0
2018-09-26,0,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,11.269909813874094,0,0,0,0,0,0,0,0,0
2018-09-27,0,11.28566478979106,11.28566478979106,11.285664789791062,11.28566478979106,11.28566478979106,11.285664789791062,11.28566478979106,11.28566478979106,11.285664789791062,0,0,0,0,0,0,0,0,0
2018-09-28,0,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,11.28806451523206,0,0,0,0,0,0,0,0,0
2018-10-01,0,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,11.33716926011173,0,0,0,0,0,0,0,0,0
2018-10-02,0,11.352708409542844,11.352708409542844,11.352708409542846,11.352708409542846,11.352708409542846,11.352708409542846,11.352708409542844,11.352708409542844,11.352708409542846,0,0,0,0,0,0,0,0,0
2018-10-03,0,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,11.339470944273417,0,0,0,0,0,0,0,0,0
2018-10-04,0,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,11.281781672151391,0,0,0,0,0,0,0,0,0
2018-10-05,0,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,11.2509880909387,0,0,0,0,0,0,0,0,0
2018-10-08,0,11.277421605826236,11.277421605826236,11.277421605826236,11.277421605826236,11.277421605826238,11.277421605826238,11.277421605826238,11.277421605826236,11.277421605826238,0,0,0,0,0,0,0,0,0
2018-10-09,0,11.228134225702606,11.228134225702608,11.228134225702608,11.228134225702606,11.228134225702608,11.228134225702606,11.228134225702606,11.228134225702606,11.228134225702608,0,0,0,0,0,0,0,0,0
2018-10-10,0,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,10.923606170542223,0,0,0,0,0,0,0,0,0
2018-10-11,0,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,10.67848723686891,0,0,0,0,0,0,0,0,0
2018-10-12,0,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,10.777832141704403,0,0,0,0,0,0,0,0,0
2018-10-15,0,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,10.742960723378664,0,0,0,0,0,0,0,0,0
2018-10-16,0,10.930477318155543,10.930477318155543,10.930477318155543,10.93047731815554,10.930477318155543,10.930477318155543,10.930477318155543,10.930477318155543,10.930477318155543,0,0,0,0,0,0,0,0,0
2018-10-17,0,10.91264899477449,10.912648994774488,10.912648994774488,10.912648994774488,10.91264899477449,10.91264899477449,10.91264899477449,10.91264899477449,10.912648994774488,0,0,0,0,0,0,0,0,0
2018-10-18,0,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,10.791279966088553,0,0,0,0,0,0,0,0,0
2018-10-19,0,10.795192933040472,10.79519293304047,10.79519293304047,10.79519293304047,10.795192933040472,10.79519293304047,10.79519293304047,10.79519293304047,10.79519293304047,0,0,0,0,0,0,0,0,0
2018-10-22,0,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,10.73099677213912,0,0,0,0,0,0,0,0,0
2018-10-23,0,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,10.646733307375335,0,0,0,0,0,0,0,0,0
2018-10-24,0,10.399177915243518,10.39917791524352,10.399177915243518,10.399177915243518,10.39917791524352,10.399177915243518,10.399177915243518,10.399177915243518,10.399177915243518,0,0,0,0,0,0,0,0,0
2018-10-25,0,10.528571845863612,10.528571845863612,10.528571845863612,10.528571845863613,10.528571845863612,10.528571845863612,10.528571845863613,10.528571845863613,10.528571845863613,0,0,0,0,0,0,0,0,0
2018-10-26,0,10.367602327800004,10.367602327800002,10.367602327800002,10.367602327800004,10.367602327800004,10.367602327800002,10.367602327800004,10.367602327800004,10.367602327800002,0,0,0,0,0,0,0,0,0
2018-10-29,0,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,10.33702222577231,0,0,0,0,0,0,0,0,0
2018-10-30,0,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,10.50304405359259,0,0,0,0,0,0,0,0,0
2018-10-31,0,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,10.570997033122817,0,0,0,0,0,0,0,0,0
2018-11-01,0,10.695645398025949,10.69564539802595,10.69564539802595,10.695645398025949,10.69564539802595,10.695645398025949,10.695645398025949,10.695645398025949,10.69564539802595,0,0,0,0,0,0,0,0,0
2018-11-02,0,10.648239968920212,10.648239968920212,10.648239968920214,10.648239968920214,10.648239968920214,10.648239968920212,10.648239968920212,10.648239968920214,10.648239968920212,0,0,0,0,0,0,0,0,0
2018-11-05,0,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,10.738959776111079,0,0,0,0,0,0,0,0,0
2018-11-06,0,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,10.817018889885922,0,0,0,0,0,0,0,0,0
2018-11-07,0,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,11.017198089529428,0,0,0,0,0,0,0,0,0
2018-11-08,0,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,10.985604512672289,0,0,0,0,0,0,0,0,0
