Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,0,1.1693991487280778e-20,1.1693991487280778e-20,1.1693991487280778e-20,33.333333333333336,1.1693991487280778e-20,1.1693991487280778e-20,33.333333333333336,33.333333333333336,1.1693991487280778e-20,0,0,0,0,0,0,0,0,0
2018-08-09,0,1.2193392132437709e-41,1.223396079721103e-41,1.2312468468928967e-41,33.33816536203154,1.2239578762764872e-41,1.235308929171735e-41,33.33816536203154,33.33816536203154,1.2373954298091485e-41,0,0,0,0,0,0,0,0,0
2018-08-10,0,1.2911931314656475e-62,1.2725606711984404e-62,1.2854520509556453e-62,33.20040676583398,1.2767703224195785e-62,1.2892469785664547e-62,33.20040676583398,33.20040676583398,1.2834974419323903e-62,0,0,0,0,0,0,0,0,0
2018-08-13,0,1.3416010119464307e-83,1.3263891984898751e-83,1.351033843401802e-83,33.21873347035881,1.3373048686439066e-83,1.3500183989707852e-83,33.21873347035881,33.21873347035881,1.3372467508931373e-83,0,0,0,0,0,0,0,0,0
2018-08-14,0,1.4153996043809226e-104,1.409073413277688e-104,1.430681388699697e-104,33.37050925873621,1.4172555500787294e-104,1.4346486275940444e-104,33.37050925873621,33.37050925873621,1.419269335260317e-104,0,0,0,0,0,0,0,0,0
2018-08-15,0,1.4376698855354744e-125,1.471324061493474e-125,1.4921911983332668e-125,33.50014622071478,1.4844655306011276e-125,1.4915087111077257e-125,33.50014622071478,33.50014622071478,1.4700091345813628e-125,0,0,0,0,0,0,0,0,0
2018-08-16,0,1.5240298498244575e-146,1.5691624836259498e-146,1.5773803203112286e-146,33.8898529468805,1.5821633017922403e-146,1.5774701439321626e-146,33.8898529468805,33.8898529468805,1.556517779794441e-146,0,0,0,0,0,0,0,0,0
2018-08-17,0,1.6079657949183994e-167,1.655004433641217e-167,1.6626289817465352e-167,34.069897185737254,1.6752648941160457e-167,1.6616997604168898e-167,34.06989718573725,34.06989718573725,1.6503164431748393e-167,0,0,0,0,0,0,0,0,0
2018-08-20,0,1.7037386927147812e-188,1.747389994746408e-188,1.7472175517544385e-188,34.061527422572375,1.7749362764285274e-188,1.7613069413839168e-188,34.061527422572375,34.06152742257237,1.749078650104335e-188,0,0,0,0,0,0,0,0,0
2018-08-21,0,1.8021917309116722e-209,1.846215454330895e-209,1.8418973047939352e-209,3.5848369055101376e-20,1.8819141140668334e-209,1.86842702052463e-209,33.8995030952967,33.8995030952967,33.8995030952967,0,0,0,0,0,0,0,0,0
2018-08-22,0,1.9194513407923042e-230,1.936217042146778e-230,1.9443508054749117e-230,3.7766097345806146e-41,1.9614360229892665e-230,1.9685096608498394e-230,33.687950212152394,33.68795021215239,33.687950212152394,0,0,0,0,0,0,0,0,0
2018-08-23,0,2.0106346473484387e-251,2.0284188636571426e-251,2.0508115638573598e-251,3.973423873875423e-62,2.05840300735553e-251,2.069782768776651e-251,33.57622851478351,33.57622851478351,33.57622851478351,0,0,0,0,0,0,0,0,0
2018-08-24,0,2.1315530177996588e-272,2.1424141353600808e-272,2.1801148230778073e-272,4.201987940979589e-83,2.1757438271911307e-272,2.1911404240849494e-272,33.75559852358771,33.75559852358771,33.75559852358771,0,0,0,0,0,0,0,0,0
2018-08-27,0,2.2599259315037768e-293,2.2851451558479185e-293,2.3154867996642495e-293,4.4383039438244523e-104,2.3188343110822652e-293,2.3209386166366844e-293,33.84687236233656,33.84687236233656,33.846872362336555,0,0,0,0,0,0,0,0,0
2018-08-28,0,2.3683432984e-314,2.402500605e-314,2.4411810557e-314,4.67366586711326e-125,2.4354528685e-314,2.447552456e-314,33.742793546137676,33.742793546137676,33.742793546137676,0,0,0,0,0,0,0,0,0
2018-08-29,0,1.1e-322,-9.4e-323,2.5e-323,4.950828385798692e-146,5e-324,-1e-322,33.922394314008045,33.922394314008045,33.922394314008045,0,0,0,0,0,0,0,0,0
2018-08-30,0,1.1e-322,-9.4e-323,2.5e-323,5.2066178893789865e-167,5e-324,-1e-322,33.75753447904331,33.75753447904331,33.75753447904331,0,0,0,0,0,0,0,0,0
2018-08-31,0,1.1e-322,-9.4e-323,2.5e-323,5.4785700441429587e-188,5e-324,-1e-322,33.671089624026735,33.671089624026735,33.671089624026735,0,0,0,0,0,0,0,0,0
2018-09-04,0,1.1e-322,-9.4e-323,2.5e-323,5.719985623481565e-209,5e-324,-1e-322,33.6292188132224,33.6292188132224,33.6292188132224,0,0,0,0,0,0,0,0,0
2018-09-05,0,1.1e-322,-9.4e-323,2.5e-323,6.044251983715221e-230,5e-324,-1e-322,33.989421841861684,33.989421841861684,33.989421841861684,0,0,0,0,0,0,0,0,0
2018-09-06,0,1.1e-322,-9.4e-323,2.5e-323,6.3613288120092035e-251,5e-324,-1e-322,34.10814098871051,34.10814098871051,34.10814098871051,0,0,0,0,0,0,0,0,0
2018-09-07,0,1.1e-322,-9.4e-323,2.5e-323,6.705180299589861e-272,5e-324,-1e-322,33.871420794403654,33.871420794403654,33.871420794403654,0,0,0,0,0,0,0,0,0
2018-09-10,0,1.1e-322,-9.4e-323,2.5e-323,7.03862852786541e-293,5e-324,-1e-322,33.98062213422236,33.98062213422236,33.98062213422236,0,0,0,0,0,0,0,0,0
2018-09-11,0,1.1e-322,-9.4e-323,2.5e-323,7.4014505937e-314,5e-324,-1e-322,33.93295920890111,33.93295920890111,33.93295920890111,0,0,0,0,0,0,0,0,0
2018-09-12,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.05934846388922,34.05934846388922,34.05934846388922,0,0,0,0,0,0,0,0,0
2018-09-13,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.172853115457606,34.172853115457606,34.172853115457606,0,0,0,0,0,0,0,0,0
2018-09-14,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.077387221180786,34.077387221180786,34.07738722118079,0,0,0,0,0,0,0,0,0
2018-09-17,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.19668314520702,34.19668314520702,34.19668314520702,0,0,0,0,0,0,0,0,0
2018-09-18,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.13952890519532,34.13952890519532,34.13952890519532,0,0,0,0,0,0,0,0,0
2018-09-19,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,33.995749844593895,33.995749844593895,33.995749844593895,0,0,0,0,0,0,0,0,0
2018-09-20,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.284394010453084,34.284394010453084,34.284394010453084,0,0,0,0,0,0,0,0,0
2018-09-21,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,34.32670364217087,34.32670364217087,34.32670364217087,0,0,0,0,0,0,0,0,0
2018-09-24,0,1.1e-322,-9.4e-323,2.5e-323,-1.1e-322,5e-324,-1e-322,33.89006087922894,33.89006087922894,33.89006087922894,0,0,0,0,0,0,0,0,0
