Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND,,,,,,,,,,,,,,,,,,,,,
8/12/2019,0.000231609,-0.000917532,-2.84E-05,0.000556483,8.252900935431788e-05,3.357307776017843e-05,0.000261187,0.000602252,0.000733931,0.000221066,0.000820076,8.817778868918226e-05,0.000203456,0.000741095,0.001509494,0.000209922,0.000513706,0.001483768,0.000553725,,,,,,,,,,,,,,,,,,,,,
8/13/2019,0.000404011,-0.000813218,0.000116417,0.000829904,0.000227063,0.000170858,0.000444711,0.000722985,0.000737474,0.000347921,0.000801876,8.829818351379125e-05,0.000187793,0.000691453,0.001450903,0.000194498,0.000470207,0.001421353,0.000529697,,,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
8/14/2019,8.201115999146151e-05,-0.001219828,-0.000279047,0.00048896,-7.76E-05,-0.000158651,0.000104501,0.000544398,0.00063961,8.923676165659851e-06,0.000825822,8.612980363754016e-05,0.000200213,0.000757246,0.001682917,0.000203245,0.000509503,0.001644099,0.000562991,,STD*100%,0.078581719,0.1790118,0.11263709,0.103098207,0.052393786,0.094081841,0.108839059,0.041130594,0.053824538,0.093448889,0.055549685,0.007075491,0.015280958,0.045652539,0.09226787,0.015633078,0.033450217,0.088895839,0.037970478
8/15/2019,0.00010438,-0.00127686,-0.000230002,0.000458983,-4.31E-05,-0.00017498,7.708525151932418e-05,0.000695945,0.000771964,5.458238499423892e-06,0.000869478,9.020421431575962e-05,0.000221237,0.000819621,0.001788818,0.00022643,0.00055217,0.001751162,0.000610604,,Mean,0.00056486,0.000805171,0.000488123,0.000941867,0.000546977,0.000518793,0.000493859,0.00046741,0.000406966,0.00059599,3.47626E-05,4.53346E-05,5.89534E-06,-3.27E-05,-7.38E-05,1.12358E-05,-1.34E-05,-6.59E-05,-1.34E-05
8/16/2019,0.000270064,-0.001091143,-2.95E-05,0.000668614,9.235687843412785e-05,4.1039319025638214e-05,0.00021007,0.00080953,0.000811436,0.00021044,0.000878566,8.792971034568605e-05,0.000217331,0.000780703,0.001678882,0.000223589,0.000532059,0.001643486,0.000592006,,Mean * 252,0.14234472,0.202903092,0.123006996,0.237350484,0.137838204,0.130735836,0.124452468,0.11778732,0.102555432,0.15018948,0.008760175,0.011424319,0.001485626,-0.008251816,-0.018598709,0.002831422,-0.003372113,-0.016602995,-0.00338121
8/19/2019,0.000391255,-0.000846427,6.964324601713533e-05,0.000823265,0.000187359,0.000132019,0.000340579,0.000897343,0.000863014,0.00028943,0.000832976,8.705041324222917e-05,0.000203877,0.000721514,0.001506799,0.000209059,0.000496824,0.001483853,0.000551074,,,,,,,,,,,,,,,,,,,,,
8/20/2019,0.000301067,-0.00093144,-7.86E-05,0.000759059,9.014331742390187e-05,6.173311128959049e-05,0.000339184,0.00076383,0.00083234,0.000152607,0.000886983,8.726949264417198e-05,0.000209197,0.000761999,0.001603032,0.000213795,0.000524167,0.001575838,0.000572847,,,,,,,,,,,,,,,,,,,,,
8/21/2019,0.000384586,-0.000858398,-3.13E-05,0.000880531,0.000166696,0.000122364,0.000538809,0.000785557,0.000899246,0.000200881,0.000895376,8.521331237544479e-05,0.000196367,0.000722992,0.001508814,0.000198926,0.000492319,0.001479595,0.000560906,,,,,,,,,,,,,,,,,,,,,
8/22/2019,0.000375371,-0.000902745,3.9121747204737943e-05,0.00084451,0.000111491,0.000130663,0.00052929,0.000841462,0.00090695,0.000122681,0.000848811,8.782754532410854e-05,0.000189499,0.000692958,0.001424498,0.000193522,0.000475524,0.001399781,0.000535219,,,,,,,,,,,,,,,,,,,,,
8/23/2019,9.308589795027834e-05,-0.001268031,-0.000234061,0.000474136,-0.000141543,-0.000152903,0.000234426,0.00065746,0.0007889,-0.000136525,0.000880308,8.576310979086082e-05,0.000205302,0.000757484,0.001585369,0.000209245,0.000518371,0.001556409,0.000569138,,,,,,,,,,,,,,,,,,,,,
8/26/2019,0.000213433,-0.001204701,-0.000123701,0.000618134,-2.60E-05,-6.87E-05,0.000340154,0.000787783,0.000907109,-9.37E-05,0.000872049,8.580886416164359e-05,0.000198243,0.00073949,0.001524252,0.000199898,0.00050524,0.001495099,0.000557049,,,,,,,,,,,,,,,,,,,,,
8/27/2019,0.000163481,-0.001266604,-0.000191491,0.000586609,-9.41E-05,-0.000127753,0.000278131,0.000750426,0.000913541,-9.61E-05,0.00091999,8.613497985381783e-05,0.00019999,0.00077867,0.001674699,0.000205014,0.000521217,0.001646596,0.000588177,,,,,,,,,,,,,,,,,,,,,
8/28/2019,0.000231526,-0.001104702,-0.000101645,0.000582576,-1.71E-05,-3.97E-06,0.000405278,0.000847122,0.000880065,-2.23E-05,0.000912127,8.399517848863836e-05,0.000200854,0.000776616,0.001676881,0.000205027,0.000518712,0.001645878,0.000587211,,,,,,,,,,,,,,,,,,,,,
8/29/2019,0.000367543,-0.000930818,6.468310468995496e-05,0.000764199,6.4877537620765e-05,0.000183827,0.000562655,0.000846887,0.000948223,0.000119938,0.000882718,8.552656899065729e-05,0.00019405,0.000749856,0.001624132,0.000201635,0.0005055,0.001594564,0.000576269,,,,,,,,,,,,,,,,,,,,,
8/30/2019,0.000354399,-0.00092682,0.000100777,0.000746009,7.182201401833194e-05,0.000225955,0.00048233,0.00082316,0.000935899,0.000185544,0.000873101,8.594961517739199e-05,0.000196048,0.000745471,0.001609701,0.000203173,0.000507038,0.001578663,0.000569768,,,,,,,,,,,,,,,,,,,,,
9/3/2019,0.000290831,-0.000968058,-6.58E-06,0.000608675,8.207330813733269e-06,8.201385394479605e-05,0.000437927,0.000880265,0.001118899,0.000107643,0.000853315,8.685490897181968e-05,0.000201905,0.000760278,0.001605785,0.000208393,0.000520456,0.001577173,0.000573396,,,,,,,,,,,,,,,,,,,,,
9/4/2019,0.000411192,-0.000799775,0.000100425,0.000787197,1.554716458563348e-05,0.000218731,0.000537776,0.000969615,0.001121639,0.000242458,0.000866364,8.489019061933848e-05,0.000208624,0.000769648,0.001607958,0.000211212,0.000534352,0.001572771,0.000587898,,,,,,,,,,,,,,,,,,,,,
9/5/2019,0.000548216,-0.000655073,0.000317261,0.001009684,0.000129546,0.000412427,0.000738517,0.000894054,0.000988976,0.000263174,0.000779868,8.515622505245674e-05,0.000182474,0.000676447,0.001400128,0.000190127,0.000467172,0.001382799,0.000527214,,,,,,,,,,,,,,,,,,,,,
9/6/2019,0.000553442,-0.000590011,0.000309524,0.001001034,0.000154617,0.000424699,0.000766999,0.000910626,0.000923966,0.000296739,0.00081175,8.558559486142387e-05,0.000181928,0.000676477,0.001465728,0.000188081,0.000467085,0.0014407,0.000534548,,,,,,,,,,,,,,,,,,,,,
9/9/2019,0.000555976,-0.000351023,0.000476639,0.000915988,5.309544305846799e-05,0.000450148,0.000803265,0.000874386,0.000856201,0.000235087,0.000721506,8.454120269470239e-05,0.000168284,0.000600881,0.001254914,0.000174934,0.000417564,0.001232841,0.000477937,,,,,,,,,,,,,,,,,,,,,
9/10/2019,0.000549539,-0.000219296,0.000511775,0.000854688,8.248863959534946e-05,0.000547917,0.000752152,0.000800044,0.0008721,0.000345243,0.000626473,8.588479522563069e-05,0.000149602,0.000519711,0.001059284,0.000156373,0.000367484,0.001045606,0.000420552,,,,,,,,,,,,,,,,,,,,,
9/11/2019,0.000619793,-0.000206047,0.000569736,0.000956826,0.000191705,0.000639473,0.000761757,0.000828255,0.000966695,0.000444675,0.000608733,8.38359127318616e-05,0.000148002,0.000503327,0.001026199,0.000153166,0.000354139,0.00101081,0.000409337,,,,,,,,,,,,,,,,,,,,,
9/12/2019,0.000648375,-0.000279863,0.00062107,0.000998667,0.000186976,0.000640186,0.000799294,0.000867556,0.000983313,0.000522683,0.000589937,8.527649923829235e-05,0.000144468,0.000477127,0.000951348,0.00014671,0.000334267,0.00093733,0.000386393,,,,,,,,,,,,,,,,,,,,,
9/13/2019,0.00063447,-0.000195485,0.000707317,0.000912555,0.000174872,0.000690317,0.000767717,0.000786947,0.000905674,0.000635863,0.00048474,8.442373424590944e-05,0.00012506,0.000371981,0.000707774,0.000129305,0.000264842,0.000702689,0.000319635,,,,,,,,,,,,,,,,,,,,,
