Date,100 SPY,100 LQD,80-20 SPYxLQD - Daily,60-40 SPYxLQD - Daily,50-50 SPYxLQD - Daily,80-20 SPYxLQD - Monthly,60-40 SPYxLQD - Monthly,50-50 SPYxLQD - Monthly,80-20 SPYxLQD - Yearly,60-40 SPYxLQD - Yearly,50-50 SPYxLQD - Yearly,Fast Algo - Daily,Fast Algo - Monthly,Fast Algo - Yearly,Round Robin - Daily,,,,,,,,,,,,,,,,,
8/8/2018,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,
8/9/2018,99.8633671,100.0781984,99.90633335,99.94929961,99.97078274,99.90633335,99.94929961,99.97078274,99.90633335,99.94929961,99.97078274,100.2495975,99.88001857,99.88001857,100.0144961,,,,,,,,,,,,,,,,,
8/10/2018,99.19430307,100.2432961,99.40381469,99.61346981,99.71835118,99.40410169,99.6139003,99.71879961,99.40410169,99.6139003,99.71879961,99.52019353,99.2397246,99.2397246,99.6012203,,,100 SPY,100 LQD,80-20 SPYxLQD - Daily,60-40 SPYxLQD - Daily,50-50 SPYxLQD - Daily,80-20 SPYxLQD - Monthly,60-40 SPYxLQD - Monthly,50-50 SPYxLQD - Monthly,80-20 SPYxLQD - Yearly,60-40 SPYxLQD - Yearly,50-50 SPYxLQD - Yearly,Fast Algo - Daily,Fast Algo - Monthly,Fast Algo - Yearly,Round Robin - Daily
8/13/2018,98.8229668,100.2172406,99.10095075,99.3793698,99.51874258,99.10182155,99.38067631,99.52010368,99.10182155,99.38067631,99.52010368,99.22959265,98.77727028,98.77727028,99.65620041,,Total Return,0.699727016,0.069089208,0.575799651,0.448494431,0.384324983,0.562516923,0.430213168,0.366129837,0.573599454,0.447471893,0.384408112,1.199773765,0.668055612,0.624923721,1.315412631
8/14/2018,99.45351528,100.3475659,99.63258323,99.8115233,99.90094505,99.63232541,99.81113553,99.9005406,99.63232541,99.81113553,99.9005406,99.92947995,99.3994557,99.3994557,100.1115278,,Year 1,0.041785265,0.135054278,0.061918061,0.081361256,0.090808419,0.060544147,0.079260965,0.088600347,0.060439067,0.07909287,0.088419771,0.039573157,0.049905702,0.032147156,0.082044812
8/15/2018,98.71084272,100.5561529,99.07879559,99.44730481,99.6317675,99.07990477,99.44896681,99.63349783,99.07990477,99.44896681,99.63349783,99.23304679,98.59893877,98.59893877,100.5004387,,Year 2,0.173680789,0.133450921,0.17486327,0.171344024,0.167838872,0.169570946,0.16337249,0.159528283,0.16506868,0.156754319,0.152704009,0.247951521,0.22975134,0.10306252,0.132869529
8/16/2018,99.50955387,100.6864941,99.74583157,99.98166847,100.0994204,99.74494192,99.98032997,100.098024,99.74494192,99.98032997,100.098024,99.97519526,99.5161268,99.5161268,101.6695588,,Year 3,0.338836852,-0.010280514,0.262474789,0.189456495,0.15417876,0.262688209,0.18979297,0.154536846,0.266128626,0.194907013,0.159839511,0.196371105,0.314375079,0.3115462,0.615952187
8/17/2018,99.85988593,100.7733381,100.0439692,100.2273594,100.3187936,100.0425764,100.2252668,100.316612,100.0425764,100.2252668,100.316612,100.2463936,99.92054093,99.92054093,102.2096916,,Year 4,-0.037766603,-0.125904838,-0.053075186,-0.06962039,-0.07833337,-0.054417964,-0.07158584,-0.080354734,-0.052115243,-0.067863502,-0.076328084,0.10185089,-0.025237072,0.026538661,0.117616088
8/20/2018,100.0735499,101.03406,100.2669825,100.4597533,100.5558895,100.2656519,100.457754,100.553805,100.2656519,100.457754,100.553805,100.5122659,100.2318822,100.2318822,102.1845823,,Year 5,0.079053274,-0.039441633,0.056536377,0.033362775,0.021550185,0.055052496,0.031198705,0.019328165,0.061264367,0.04110987,0.029992995,0.286282925,0.00838089,0.060064585,0.045880592
8/21/2018,100.3083119,100.782055,100.4051367,100.500925,100.54843,100.4030605,100.4978091,100.5451834,100.4030605,100.4978091,100.5451834,100.677304,100.3993407,100.3993407,101.6985093,,Average ,0.139945403,0.013817842,0.11515993,0.089698886,0.076864997,0.112503385,0.086042634,0.073225967,0.114719891,0.089494379,0.076881622,0.239954753,0.133611122,0.124984744,0.263082526
8/22/2018,100.2487335,100.7733381,100.3556912,100.4616324,100.5142212,100.3536545,100.4585754,100.5110358,100.3536545,100.4585754,100.5110358,100.634584,100.2257707,100.2257707,101.0638506,,,,,,,,,,,,,,,,,
8/23/2018,100.1156404,100.8081185,100.2560303,100.395476,100.4648438,100.254136,100.3926316,100.4618794,100.254136,100.3926316,100.4618794,100.5609319,99.99072743,99.99072743,100.7286855,,,,,,,,,,,,,,,,,
8/24/2018,100.718152,101.0079965,100.7784722,100.8376174,100.8667492,100.7761209,100.8340898,100.8630743,100.7761209,100.8340898,100.8630743,101.1063954,100.5653775,100.5653775,101.2667956,,,,,,,,,,,,,,,,,
8/27/2018,101.5133585,100.8515761,101.3838054,101.2528446,101.1868382,101.381002,101.2486455,101.1824673,101.381002,101.2486455,101.1824673,101.5200589,101.2410615,101.2410615,101.5406171,,,,,,,,,,,,,,,,,
8/28/2018,101.5623996,100.4691982,101.3461091,101.128634,101.0194553,101.3437593,101.1251191,101.0157989,101.3437593,101.1251191,101.0157989,101.6371483,101.1037502,101.1037502,101.2283806,,,,,,,,,,,,,,,,,
8/29/2018,102.1088726,100.3649521,101.7613252,101.4131453,101.2388226,101.7600885,101.4113044,101.2369124,101.7600885,101.4113044,101.2369124,102.6015778,101.659128,101.659128,101.7671829,,,,,,,,,,,,,,,,,
8/30/2018,101.6954928,100.4605367,101.4511298,101.2054405,101.0821023,101.4485016,101.2015103,101.0780147,101.4485016,101.2015103,101.0780147,102.2187579,101.1902317,101.1902317,101.2726034,,,,,,,,,,,,,,,,,
8/31/2018,101.6990091,100.3128252,101.4241025,101.1480174,101.0095371,101.4217723,101.1445355,101.0059171,101.4217723,101.1445355,101.0059171,102.3818716,101.0660664,101.0660664,101.0132689,,,,,,,,,,,,,,,,,
9/4/2018,101.5238607,100.1280473,101.2469976,100.9689712,100.829526,101.244698,100.9655353,100.825954,101.244698,100.9655353,100.825954,102.3163265,100.9338741,100.9338741,100.8876564,,,,,,,,,,,,,,,,,
9/5/2018,101.25063,100.0670215,101.0166676,100.7813135,100.6631183,101.0139083,100.7771866,100.6588258,101.0139083,100.7771866,100.6588258,101.6764966,101.1462699,101.1462699,101.9682655,,,,,,,,,,,,,,,,,
9/6/2018,100.9458462,100.3459286,100.8297147,100.71165,100.6518949,100.8258626,100.7058791,100.6458874,100.8258626,100.7058791,100.6458874,101.6113736,100.9347025,100.9347025,102.324423,,,,,,,,,,,,,,,,,
9/7/2018,100.7497052,99.92758384,100.5889102,100.4262907,100.3442999,100.5852809,100.4208567,100.3386445,100.5852809,100.4208567,100.3386445,101.4174396,100.6285535,100.6285535,101.6142624,,,,,,,,,,,,,,,,,
9/10/2018,100.9248185,100.2587523,100.7954492,100.6641499,100.5977789,100.7916053,100.658392,100.5917854,100.7916053,100.658392,100.5917854,101.5937579,100.8272591,100.8272591,101.9418664,,,,,,,,,,,,,,,,,
9/11/2018,101.2576392,100.0321779,101.0158071,100.7723303,100.6499798,101.012547,100.7674547,100.6449086,101.012547,100.7674547,100.6449086,101.9957846,101.0657556,101.0657556,101.7988776,,,,,,,,,,,,,,,,,
9/12/2018,101.2821598,100.2326255,101.0758604,100.8677445,100.7630093,101.0722529,100.8623461,100.7573927,101.0722529,100.8623461,100.7573927,102.1958033,101.2124275,101.2124275,102.1780454,,,,,,,,,,,,,,,,,
9/13/2018,101.8811902,100.4418295,101.5963014,101.3099039,101.1661448,101.5933181,101.3054459,101.1615099,101.5933181,101.3054459,101.1615099,102.7252679,101.6751229,101.6751229,102.5185593,,,,,,,,,,,,,,,,,
9/14/2018,101.8987015,100.3197939,101.5855836,101.2711157,101.1133811,101.58292,101.2671385,101.1092477,101.58292,101.2671385,101.1092477,102.3367884,101.6813319,101.6813319,102.2321617,,,,,,,,,,,,,,,,,
9/17/2018,101.3592026,100.2587523,101.1429483,100.9247618,100.8149484,101.1391125,100.9190225,100.8089774,101.1391125,100.9190225,100.8089774,101.5575724,101.4490279,101.4490279,102.5900494,,,,,,,,,,,,,,,,,
9/18/2018,101.9092036,99.84916398,101.4993703,101.0884243,100.882542,101.4971957,101.0851878,100.8791838,101.4971957,101.0851878,100.8791838,102.3056152,101.905171,101.905171,102.4185867,,,,,,,,,,,,,,,,,
9/19/2018,102.0178348,99.70096991,101.5557971,101.0930647,100.8614465,101.5544618,101.0910889,100.8594024,101.5544618,101.0910889,100.8594024,101.9560311,101.9300728,101.9300728,101.9872495,,,,,,,,,,,,,,,,,
9/20/2018,102.8445477,99.96245117,102.2674412,101.6906489,101.4023798,102.2681284,101.6917091,101.4034994,102.2681284,101.6917091,101.4034994,102.7422447,102.6596938,102.6596938,102.853182,,,,,,,,,,,,,,,,,
